,0,1,2,3,4,5,6,7,8,9,10
3855,416156003,Kluyvera georgiana,active,2005-07-31,Kluyvera georgiana (organism),Kluyvera georgiana,Kluyvera 61161003,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Bacterium 41146007 Gram-negative bacterium 81325006 Facultatively anaerobic gram-negative rod 115173005 Enterobacteriaceae 106544002 Kluyvera 61161003 Kluyvera georgiana 416156003,sorted most to least specificKluyvera 61161003Enterobacteriaceae 106544002Coliform bacteria 77309002Order Enterobacterales 417937002Facultatively anaerobic gram-negative rod 115173005Gammaproteobacteria 413864003Gram-negative bacillus 87172008Proteobacteria 409852006Form-bacillus 416455007Gram-negative bacterium 81325006Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
3859,414328004,Kocuria,active,2005-01-31,Genus Kocuria (organism),KocuriaGenus KocuriaKocuria species,Family Micrococcaceae 115105004,Kocuria aegyptia 4961000146109Kocuria carniphila 432744002Kocuria flava 738502008Kocuria himachalensis 4971000146103Kocuria indica 718799000Kocuria kristinae 113772007Kocuria marina 432742003Kocuria palustris 432323004Kocuria polaris 432452000Kocuria rhizophila 432451007Kocuria rosea 113773002Kocuria salsicia 734254005Kocuria varians 113774008,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Bacterium 41146007 Cocci 83045001 Gram-positive coccus 59206002 Catalase-positive Gram-positive coccus 243226004 Family Micrococcaceae 115105004 Kocuria 414328004,sorted most to least specificFamily Micrococcaceae 115105004Suborder Micrococcineae 415656009Catalase-positive Gram-positive coccus 243226004Actinomycetales 409833000Gram-positive coccus 59206002Actinobacteridae 409835007Gram-positive bacteria 8745002Cocci 83045001Class Actinobacteria 413857000Actinobacteria 409823008Form-bacillus 416455007Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP
3861,113773002,Kocuria rosea,active,2002-01-31,Kocuria rosea (organism),Kocuria roseaKocuria erythromyxaMicrococcus roseus,Kocuria 414328004,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Bacterium 41146007 Cocci 83045001 Gram-positive coccus 59206002 Catalase-positive Gram-positive coccus 243226004 Family Micrococcaceae 115105004 Kocuria 414328004 Kocuria rosea 113773002,sorted most to least specificKocuria 414328004Family Micrococcaceae 115105004Suborder Micrococcineae 415656009Catalase-positive Gram-positive coccus 243226004Actinomycetales 409833000Gram-positive coccus 59206002Gram-positive bacteria 8745002Cocci 83045001Actinobacteridae 409835007Class Actinobacteria 413857000Actinobacteria 409823008Form-bacillus 416455007Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
3863,113772007,Kocuria kristinae,active,2002-01-31,Kocuria kristinae (organism),Kocuria kristinaeMicrococcus kristinae,Kocuria 414328004,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Bacterium 41146007 Cocci 83045001 Gram-positive coccus 59206002 Catalase-positive Gram-positive coccus 243226004 Family Micrococcaceae 115105004 Kocuria 414328004 Kocuria kristinae 113772007,sorted most to least specificKocuria 414328004Family Micrococcaceae 115105004Suborder Micrococcineae 415656009Catalase-positive Gram-positive coccus 243226004Actinomycetales 409833000Gram-positive coccus 59206002Gram-positive bacteria 8745002Cocci 83045001Actinobacteridae 409835007Class Actinobacteria 413857000Actinobacteria 409823008Form-bacillus 416455007Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
3867,113774008,Kocuria varians,active,2002-01-31,Kocuria varians (organism),Kocuria varians,Kocuria 414328004,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Bacterium 41146007 Cocci 83045001 Gram-positive coccus 59206002 Catalase-positive Gram-positive coccus 243226004 Family Micrococcaceae 115105004 Kocuria 414328004 Kocuria varians 113774008,sorted most to least specificKocuria 414328004Family Micrococcaceae 115105004Suborder Micrococcineae 415656009Catalase-positive Gram-positive coccus 243226004Actinomycetales 409833000Gram-positive coccus 59206002Gram-positive bacteria 8745002Cocci 83045001Actinobacteridae 409835007Class Actinobacteria 413857000Actinobacteria 409823008Form-bacillus 416455007Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
3869,8031000146105,Kosakonia,active,2016-01-31,Genus Kosakonia (organism),Genus KosakoniaKosakonia,Enterobacteriaceae 106544002,Kosakonia cowanii 416229008Kosakonia radicincitans 8181000146108,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Bacterium 41146007 Gram-negative bacterium 81325006 Facultatively anaerobic gram-negative rod 115173005 Enterobacteriaceae 106544002 Kosakonia 8031000146105,sorted most to least specificEnterobacteriaceae 106544002Order Enterobacterales 417937002Coliform bacteria 77309002Facultatively anaerobic gram-negative rod 115173005Gram-negative bacillus 87172008Gammaproteobacteria 413864003Proteobacteria 409852006Form-bacillus 416455007Gram-negative bacterium 81325006Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP
3873,89477001,Yokenella regensburgei,active,2002-01-31,Yokenella regensburgei (organism),Yokenella regensburgeiCDC Enteric group 45Koserella trabulsii,Yokenella 14943005,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Bacterium 41146007 Gram-negative bacterium 81325006 Facultatively anaerobic gram-negative rod 115173005 Enterobacteriaceae 106544002 Yokenella 14943005 Yokenella regensburgei 89477001,sorted most to least specificYokenella 14943005Enterobacteriaceae 106544002Coliform bacteria 77309002Order Enterobacterales 417937002Facultatively anaerobic gram-negative rod 115173005Gammaproteobacteria 413864003Gram-negative bacillus 87172008Proteobacteria 409852006Form-bacillus 416455007Gram-negative bacterium 81325006Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
3875,699369007,Kroppenstedtia,active,2014-01-31,Kroppenstedtia (organism),KroppenstedtiaGenus Kroppenstedtia,Thermoactinomycetaceae 409841000,Kroppenstedtia eburnea 699374004Kroppenstedtia guangzhouensis 782453004,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Firmicutes 115195009 Class Bacilli 416207009 Bacillales 409842007 Thermoactinomycetaceae 409841000 Kroppenstedtia 699369007,sorted most to least specificThermoactinomycetaceae 409841000Bacillales 409842007Class Bacilli 416207009Firmicutes 115195009Gram-positive bacteria 8745002Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP
3877,699374004,Kroppenstedtia eburnea,active,2014-01-31,Kroppenstedtia eburnea (organism),Kroppenstedtia eburnea,Kroppenstedtia 699369007,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Firmicutes 115195009 Class Bacilli 416207009 Bacillales 409842007 Thermoactinomycetaceae 409841000 Kroppenstedtia 699369007 Kroppenstedtia eburnea 699374004,sorted most to least specificKroppenstedtia 699369007Thermoactinomycetaceae 409841000Bacillales 409842007Class Bacilli 416207009Gram-positive bacteria 8745002Firmicutes 115195009Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
3879,69512006,Kurthia,active,2002-01-31,Genus Kurthia (organism),KurthiaGenus KurthiaKurthia species,Non-Sporing Gram Positive Rods 115198006Family Planococcaceae 422268000,Kurthia bessoni 243283009Kurthia gibsonii 53631003Kurthia populi 761864003Kurthia sibirica 113768008Kurthia zopfii 22581007,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Firmicutes 115195009 Non-Sporing Gram Positive Rods 115198006 Kurthia 69512006SNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Firmicutes 115195009 Class Bacilli 416207009 Bacillales 409842007 Family Planococcaceae 422268000 Kurthia 69512006,sorted most to least specificNon-Sporing Gram Positive Rods 115198006Family Planococcaceae 422268000Gram-positive bacillus 83514008Bacillales 409842007Form-bacillus 416455007Class Bacilli 416207009Firmicutes 115195009Gram-positive bacteria 8745002Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP
3881,243283009,Kurthia bessoni,active,2002-01-31,Kurthia bessoni (organism),Kurthia bessoni,Kurthia 69512006,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Firmicutes 115195009 Non-Sporing Gram Positive Rods 115198006 Kurthia 69512006 Kurthia bessoni 243283009,sorted most to least specificKurthia 69512006Family Planococcaceae 422268000Non-Sporing Gram Positive Rods 115198006Gram-positive bacillus 83514008Bacillales 409842007Form-bacillus 416455007Class Bacilli 416207009Firmicutes 115195009Gram-positive bacteria 8745002Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
3883,115141004,Kytococcus,active,2002-01-31,Genus Kytococcus (organism),KytococcusGenus KytococcusKytococcus species,Dermacoccaceae 426575002Gram-positive coccus 59206002,Kytococcus schroeteri 428721003Kytococcus sedentarius 113775009Kytococcus species 131317009 removed: 2015-01-31,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Bacterium 41146007 Form-bacillus 416455007 Actinobacteria 409823008 Class Actinobacteria 413857000 Actinobacteridae 409835007 Actinomycetales 409833000 Suborder Micrococcineae 415656009 Dermacoccaceae 426575002 Kytococcus 115141004SNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Bacterium 41146007 Cocci 83045001 Gram-positive coccus 59206002 Kytococcus 115141004,sorted most to least specificGram-positive coccus 59206002Dermacoccaceae 426575002Suborder Micrococcineae 415656009Gram-positive bacteria 8745002Cocci 83045001Actinomycetales 409833000Actinobacteridae 409835007Class Actinobacteria 413857000Actinobacteria 409823008Form-bacillus 416455007Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP
